Item_Identifier,Item_Weight,Item_Visibility,Item_MRP,Outlet_Identifier,Item_Outlet_Sales,Outlet_Years,Outlet,Item_Fat_Content_0,Item_Fat_Content_1,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,New_Item_Type_0,New_Item_Type_1,New_Item_Type_2
FDA15,9.3,0.016047301,249.8092,OUT049,8.225807736568045,14,9,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
DRC01,5.92,0.019278216,48.2692,OUT018,6.096776361579924,4,3,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
FDN15,17.5,0.016760075,141.618,OUT049,7.648868474670161,14,9,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
FDX07,19.2,0.06595278007399345,182.095,OUT010,6.597663985017227,15,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
NCD19,8.93,0.06595278007399345,53.8614,OUT013,6.903451229836965,26,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
FDP36,10.395,0.06595278007399345,51.4008,OUT018,6.3236576412443055,4,3,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
FDO10,13.65,0.012741089,57.6588,OUT013,5.842247344312063,26,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDP10,12.792854228644991,0.127469857,107.7622,OUT027,8.299972962538963,28,5,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
FDH17,16.2,0.016687114,96.9726,OUT045,6.9824903259119395,11,7,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
FDU28,19.2,0.09444959,187.8214,OUT017,8.457769036251289,6,2,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
FDY07,11.8,0.06595278007399345,45.5402,OUT049,7.3245075138025815,14,9,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
FDA03,18.5,0.045463773,144.1102,OUT046,7.690813087970959,16,8,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDX32,15.1,0.1000135,145.4786,OUT049,7.371655696463161,14,9,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
FDS46,17.6,0.047257328,119.6782,OUT046,7.671457656629242,16,8,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDF32,16.35,0.0680243,196.4426,OUT013,7.590056858053727,26,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDP49,9.0,0.069088961,56.3614,OUT046,7.344925234443442,16,8,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
NCB42,11.8,0.008596051,115.3492,OUT018,7.391963050071823,4,3,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
FDP49,9.0,0.069196376,54.3614,OUT049,6.578415029173322,14,9,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
DRI11,12.792854228644993,0.034237682,113.2834,OUT027,7.742691910349596,28,5,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
FDU02,13.35,0.10249212,230.5352,OUT035,7.919146132236254,9,6,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
